"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","찾아오시는 길","업소정보","자랑거리","추천수","기준년월","업소 사진"
"00006017","아폴로헤어크리닉","005","이미용","서울특별시 중랑구 사가정로50길 67 (면목동)","495-7337        ","면목골목시장 65호","영업시간 :09:00~21:00 좌석수 :5 휴무일 :매주 수요일 예약 :불가능 카드 :불가능 주차 :가능 취급 품목 : 미용료(파마) 27,000원  ","면목시장내 위치, 형편이 어려우신 분은 요금을 할인해주며 20년간 봉사활동을 하시는 사장님이 운영하는 업소","450","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20151126102205.jpg"
"00006015","상록수미용실","005","이미용","서울특별시 중랑구 동일로99길 22 (면목동)","","면목2동 다울아파트에서 동일로로 가는 골목에 위치","영업시간 : 09:30~21:00 휴무일 : 매주 일요일                         ","　","432","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20240125165641.jpg"
"00004506","열린미용실","005","이미용","서울특별시 관악구 난곡로40길 16 (신림동)","","미성동 노선버스 신일교회앞 하차","영업시간 : 오전 9시 ~ 오후 8시 휴무일 : 매주 일요일            ","▷경로자, 장애인 할인해 드림 ▷한달에 한번씩 교회에서 지역어르신들 머리 커트 봉사","336","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220718132604.jpg"
"00003002","미림17분칼라","013","기타서비스업","서울특별시 관악구 호암로26길 1 (신림동)","02-871-7070","서울대벤처타운역 2번 출구에서157m 미림여고 입구 국민은행 옆 위치","영업시간 :오전 9시 30분  ~ 오후 9시 30분 휴무일 : 매월 둘째, 넷째주 일요일                 ","　","318","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220718160128.jpg"
"00004242","덕성이발관","005","이미용","서울특별시 관악구 장군봉2길 11 (봉천동)","02-882-5875","봉천역 3번 출구에서 시장골목으로 100미터","영업시간 : 오전 7시 ~ 오후 9시 휴무일 : 매주 화요일             ","　","264","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120405110716.JPG"
"00005948","헤어디자인하우스","005","이미용","서울특별시 서울 관악구 은천로 95, 벽산블루밍상가 4층","02-3285-8002","지하철 2호선 봉천역 하차 4번출구로 나와 1번 마을버스 타고 현대시장 정류장 하차, 벽산블루밍아파트상가까지 도보 3분","영업시간 : 오전 10시 ~ 오후 8시 휴무일 : 매주 일요일                  ","최고의 기술과 서비스 제공","258","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220728102750.jpg"
"00001739","목우촌부추삼겹살","001","한식","서울특별시 관악구 남현1길 68-10 (남현동)","02-588-7399","전철 2호선, 4호선 사당역에서 5번출구로 나오시면 (구)관악등기소쪽 먹자골목으로 50m거리에 위치","매일 12:00 - 24:00         ","　","257","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20150107174451.JPG"
"00004325","청진동해장국","001","한식","서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층","02-875-9882","지하철 2호선 서울대입구역 3번 출구로 나와서 서울대학교 쪽으로 직진 도보10분 관악경찰서 앞에 위치함.","영업시간 : 24시간 휴무일 : 연중무휴                 ","　","252","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220718174745.jpg"
"00006688","행운미용실","005","이미용","서울특별시 중랑구 동일로120길 121-11 (상봉동)","2208-7385       ","상봉1동 주민센터 지나 우회전하여 부광통상 택시회사 옆","영업시간 : 8:30~22:00 좌석수 :2 휴무일 :없음 배달 : 불가능 예약 : 불가능 카드 : 불가능 주차 :가능 취급품목 : 미용료(파마) 15,000원 ","한 장소에서 오랫동안 미용실을 운영, 종업원 없이 사장님 혼자 운영하시기 때문에 가격이 저렴하여 바쁜 시간에는 번호표를     뽑을 정도로 대기손님이 많음 ","250","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20151126102800.jpg"
"00007851","오백냥분식","001","한식","서울특별시 송파구 가락로 112 (석촌동)","02-414-2261","전철노선: 8호선 송파역 4번출구 중동빌딩 버스노서 : 3417.3418.3422.1007-1. 5600.8202.2412.100 ","영업시간:08:00~22:00      ","저렴한 가격으로 국내산 재료 취급함 친절한 고객 서비스 ","236","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120703113153.JPG"
